1961.0,74766.05440414508
1962.0,77656.24615384615
1963.0,93353.13076923077
1964.0,89106.60201511336
1965.0,86684.08353808353
1966.0,78056.78571428571
1967.0,79169.35338345864
1968.0,78135.27047146401
1969.0,72179.1135802469
1970.0,81942.67639902676
1971.0,88335.39386792453
1972.0,93153.03325415678
1973.0,94615.93208430913
1974.0,98946.69976359338
1975.0,101940.35321100918
1976.0,101505.08114558473
1977.0,97969.9260143198
1978.0,97208.14988290398
1979.0,96632.56206088993
1980.0,101548.16317016317
1981.0,102252.36879432623
1982.0,103540.49528301887
1983.0,111290.53791469194
1984.0,112096.55164319249
1985.0,129157.22769953051
1986.0,108754.5424528302
1987.0,122657.88470066519
1988.0,99862.15238095238
1989.0,114974.7
1990.0,132006.4
1991.0,152977.71131639724
1992.0,122797.56039603961
1993.0,130301.79012345678
1994.0,98666.59923664122
1995.0,97242.10646387833
1996.0,139593.64258555134
1997.0,107411.42694497154
1998.0,117058.07550644568
1999.0,124114.36095764273
2000.0,113676.2495412844
2001.0,107194.35883424408
2002.0,92190.89786585367
2003.0,116702.6499238965
2004.0,115920.78286558346
2005.0,116631.26883308715
2006.0,118098.59527326441
2007.0,122305.24888226528
